기준년월,시도명,시군구명,성별코드,사용금액
2016-06,서울특별시,강동구,M,0
2016-06,서울특별시,도봉구,M,56775551
2016-06,서울특별시,송파구,M,24356150
2016-06,충청남도,아산시,M,7734909
2016-06,인천광역시,부평구,M,48356581
2016-06,인천광역시,계양구,M,2347800
2016-06,서울특별시,중랑구,F,92294753
2016-06,서울특별시,은평구,F,9369815
2016-06,서울특별시,노원구,M,220567115
2016-06,경기도,연천군,F,985838399
2016-06,경기도,성남시 분당구,F,
2016-06,경기도,군포시,M,
2016-06,경기도,포천시,F,7348305401
2016-06,경기도,의정부시,M,
2016-06,경기도,의왕시,F,8948921463
2016-06,경기도,용인시 처인구,M,
2016-06,경기도,용인시 수지구,F,
2016-06,경기도,용인시 기흥구,F,
2016-06,경기도,부천시,F,
2016-06,충청북도,음성군,M,0
2016-06,서울특별시,양천구,F,978250
2016-06,서울특별시,구로구,F,205936595
2016-06,경기도,하남시,M,
2016-06,경기도,포천시,M,
2016-06,경기도,파주시,F,
2016-06,경기도,연천군,M,4819500427
2016-06,경기도,안양시 동안구,F,
2016-06,경기도,안성시,M,
2016-06,경기도,안산시 단원구,M,
2016-06,경기도,부천시,M,
2016-04,경기도,안양시 만안구,M,
2016-04,경기도,고양시 덕양구,M,
2016-04,경기도,광주시,F,
2016-04,경기도,김포시,F,
